family_id,macro_group,operation_family,short_definition,representative_tools,primary_category,secondary_category_optional,confidence,rationale,boundary_issue,suggested_revision
F25,参数形变,衰减与晶格笼变形,由权重场或控制笼插值位移；产生连续局部形变,Houdini: Lattice；Blender: 比例编辑 / 晶格；Maya: 软选择 / 晶格；3ds Max: 软选择 / FFD；Cinema 4D: FFD,,,,,,
F26,截面生成,旋转成形,截面绕轴旋转生成表面；形成轴对称体,Blender: 旋转 / 螺旋；Maya: 旋转成形；3ds Max: 车削；Cinema 4D: 车削；Nomad Sculpt: 车削,,,,,,
F27,截面生成,沿路径扫掠,截面沿一条路径传输；形成管、条带或扫掠体,ZBrush: 曲线笔刷；Nomad Sculpt: 管状曲线；Blender: 曲线倒角；Maya: 扫掠网格；3ds Max: 扫掠,,,,,,
F28,截面生成,多截面放样与蒙皮,在多个截面或骨架之间插值连接；形成连续表面,Blender: Skin；Maya: 放样；3ds Max: 放样；Cinema 4D: 放样；Houdini: Skin,,,,,,
F29,贴合与传递,表面贴合与收缩包裹,沿最近点、射线或投射方向移动点到目标表面；使整体/局部几何贴合目标,Blender: 收缩包裹；Maya: ShrinkWrap；3ds Max: 贴合；Cinema 4D: 收缩包裹；Nomad Sculpt: 投射,,,,,,
F30,贴合与传递,几何细节投射与转移,把源表面细节采样到另一网格；在新拓扑上恢复几何细节,ZBrush: Project All,,,,,,
F31,雕刻形态,雕刻抓取与牵拉,以笔刷中心和衰减场直接位移表面；拖动、抓取或延展局部轮廓,Blender: 抓取 / 弹性变形；Maya: 雕刻移动；ZBrush: Move/SnakeHook；Nomad Sculpt: 移动 / 拖拽；Cinema 4D: 雕刻拉动 / 抓取,,,,,,
F32,雕刻形态,雕刻堆积与挖除,沿笔刷轨迹增加或移除体量；塑造凸起、凹陷和块面,Blender: 黏土 / 黏土条；ZBrush: ClayBuildup/Standard；Nomad Sculpt: 黏土 / 堆叠；Cinema 4D: Wax/Pull；Houdini: Curve Clay/Sculpt,,,,,,
F33,雕刻形态,交互式局部平滑与放松,在笔刷影响域内平均或放松顶点；消除局部噪声并保留/弱化形状,Blender: 平滑/放松；ZBrush: Smooth；Nomad Sculpt: 平滑；Cinema 4D: 平滑；Houdini: Sculpt 平滑,,,,,,
F34,雕刻形态,交互式压平刮削与抛光,把局部点投到估计平面或削平峰值；形成平面、硬边或抛光表面,Blender: 压平；ZBrush: TrimDynamic/HPolish；Nomad Sculpt: 压平/抛光；Cinema 4D: 压平,,,,,,
F35,雕刻形态,法向膨胀与收缩,沿表面法线正向或反向位移；局部鼓起或收缩,Blender: 膨胀；ZBrush: Inflate；Nomad Sculpt: 膨胀；Cinema 4D: 膨胀；Houdini: Sculpt/Paint（膨胀候选）,,,,,,
F36,雕刻形态,收紧刻痕与褶皱强化,把邻近点向笔刷中心线收拢并可压入；锐化边、刻痕或褶皱,Blender: 收紧/刻痕；ZBrush: Pinch/DamStandard；Nomad Sculpt: 收紧/刻痕；Cinema 4D: 收紧；Houdini: Sculpt/Paint（收紧候选）,,,,,,
F37,作用域与组织,遮罩与权重影响场,建立连续或离散权重以限制后续操作；保护区域或调节影响强度,Blender: 遮罩笔刷；ZBrush: MaskPen；Nomad Sculpt: 遮罩；Cinema 4D: 冻结遮罩,,,,,,
F38,作用域与组织,组件分组与区域选择定义,记录离散选择、面集或多边形组；界定后续操作范围,Blender: 面集；Maya: 绘制选择；ZBrush: PolyGroups；Houdini: Group/Paint,,,,,,
F39,作用域与组织,可见性与隔离,切换显示状态而不删除几何；隐藏或隔离编辑区域,Nomad Sculpt: 隐藏；Houdini: Visibility,,,,,,
F40,作用域与组织,对象与组件分离,把选中部分拆分为独立对象；分离对象边界或编辑单元,Nomad Sculpt: 分离,,,,,,
F41,重建与分辨率,算子式表面平滑与放松,由一次性算子或节点对选区迭代平均；整体或选区平滑,Houdini: Smooth SOP,,,,,,
