source_row_id,source_part,software,source_native_tool,atomic_tool_function,source_operation_family,family_id,family_cn,macro_group,interaction_mode,mapping_basis,official_source_id,official_source_url,mapping_confidence,ambiguity_note,original_geometry_level,original_geometry_effect,original_operation_semantics
S011,1,Cinema 4D,样条画笔,样条画笔,曲线 / 样条绘制,F02,曲线与路径创建,生成与构造,Selection + operator,放置控制点或绘制路径；主要效果：生成可编辑曲线,C03,https://help.maxon.net/c4d/en-us/Content/html/5166.html?TocPath=Coordinates%7CGenerators%7C_____0,High,,曲线 / 线,创建导向曲线、路径、管状结构或轮廓线。,线段绘制（其实ai也能代替了）只是调用不同的模型
S012,1,ZBrush,曲线笔刷,曲线笔刷,曲线 / 样条绘制,F27,沿路径扫掠,截面生成,Operator/parameter,截面沿一条路径传输；主要效果：形成管、条带或扫掠体,Z01,https://help.maxon.net/zbr/en-us/Content/html/reference-guide/brush/brush-types/brush-types.html,High,该工具沿曲线路径直接生成管状几何，不是仅创建可编辑曲线。,曲线 / 线,创建导向曲线、路径、管状结构或轮廓线。,线段绘制（其实ai也能代替了）只是调用不同的模型
S013,1,Nomad Sculpt,管状曲线,管状曲线,曲线 / 样条绘制,F27,沿路径扫掠,截面生成,Operator/parameter,截面沿一条路径传输；主要效果：形成管、条带或扫掠体,N01,https://nomadsculpt.com/manual/tools,High,该工具沿曲线路径直接生成管状几何，不是仅创建可编辑曲线。,曲线 / 线,创建导向曲线、路径、管状结构或轮廓线。,线段绘制（其实ai也能代替了）只是调用不同的模型
S014,1,Houdini,Curve SOP,Curve SOP,曲线 / 样条绘制,F02,曲线与路径创建,生成与构造,Selection + operator,放置控制点或绘制路径；主要效果：生成可编辑曲线,H09,https://www.sidefx.com/docs/houdini/nodes/sop/curve.html,High,,曲线 / 线,创建导向曲线、路径、管状结构或轮廓线。,线段绘制（其实ai也能代替了）只是调用不同的模型
S015,1,Blender,移动/旋转/缩放、变换操纵器,移动/旋转/缩放、变换操纵器,组件变换,F03,仿射变换,变换与布局,Direct manipulation,平移、旋转、缩放矩阵；主要效果：改变位置、朝向或尺度,B02,https://docs.blender.org/manual/en/4.0/modeling/meshes/editing/index.html,High,,点 / 边 / 面 / 对象,移动、旋转或缩放选中的组件或对象。,空间定位
S016,1,Maya,移动/旋转/缩放工具,移动/旋转/缩放工具,组件变换,F03,仿射变换,变换与布局,Direct manipulation,平移、旋转、缩放矩阵；主要效果：改变位置、朝向或尺度,M01,https://help.autodesk.com/cloudhelp/ENU/MayaCRE-Modeling/files/GUID-C8EC81A1-46B2-498C-A759-7DC304D8B687.htm,High,,点 / 边 / 面 / 对象,移动、旋转或缩放选中的组件或对象。,空间定位
S017,1,3ds Max,选择并移动/旋转/缩放,选择并移动/旋转/缩放,组件变换,F03,仿射变换,变换与布局,Direct manipulation,平移、旋转、缩放矩阵；主要效果：改变位置、朝向或尺度,A01,https://help.autodesk.com/view/MAXDEV/2024/ENU/?guid=GUID-B40F84EA-5F19-45B6-AA7C-0ADC77708BBE,High,,点 / 边 / 面 / 对象,移动、旋转或缩放选中的组件或对象。,空间定位
S018,1,Cinema 4D,移动/缩放/旋转,移动/缩放/旋转,组件变换,F03,仿射变换,变换与布局,Direct manipulation,平移、旋转、缩放矩阵；主要效果：改变位置、朝向或尺度,C03,https://help.maxon.net/c4d/en-us/Content/html/5166.html?TocPath=Coordinates%7CGenerators%7C_____0,High,,点 / 边 / 面 / 对象,移动、旋转或缩放选中的组件或对象。,空间定位
S019,1,ZBrush,Gizmo 3D,Gizmo 3D,组件变换,F03,仿射变换,变换与布局,Direct manipulation,平移、旋转、缩放矩阵；主要效果：改变位置、朝向或尺度,Z01,https://help.maxon.net/zbr/en-us/Content/html/reference-guide/brush/brush-types/brush-types.html,High,,点 / 边 / 面 / 对象,移动、旋转或缩放选中的组件或对象。,空间定位
S020,1,Nomad Sculpt,Gizmo,Gizmo,组件变换,F03,仿射变换,变换与布局,Direct manipulation,平移、旋转、缩放矩阵；主要效果：改变位置、朝向或尺度,N01,https://nomadsculpt.com/manual/tools,High,,点 / 边 / 面 / 对象,移动、旋转或缩放选中的组件或对象。,空间定位
S021,1,Houdini,Edit/Transform SOP,Edit/Transform SOP,组件变换,F03,仿射变换,变换与布局,Direct manipulation,平移、旋转、缩放矩阵；主要效果：改变位置、朝向或尺度,H02,https://www.sidefx.com/docs/houdini/nodes/sop/index.html,High,,点 / 边 / 面 / 对象,移动、旋转或缩放选中的组件或对象。,空间定位
S022,1,Blender,吸附、轴向约束,吸附、轴向约束,吸附 / 对齐 / 约束,F04,吸附与轴向约束放置,变换与布局,Direct manipulation,将变换限制到网格、点、曲线或轴；主要效果：提高放置精度,B02,https://docs.blender.org/manual/en/4.0/modeling/meshes/editing/index.html,High,,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,语义空间感知能力
S023,1,Maya,吸附到网格/点/曲线,吸附到网格/点/曲线,吸附 / 对齐 / 约束,F04,吸附与轴向约束放置,变换与布局,Direct manipulation,将变换限制到网格、点、曲线或轴；主要效果：提高放置精度,M01,https://help.autodesk.com/cloudhelp/ENU/MayaCRE-Modeling/files/GUID-C8EC81A1-46B2-498C-A759-7DC304D8B687.htm,High,,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,语义空间感知能力
S024,1,3ds Max,吸附开关、对齐,吸附开关,吸附 / 对齐 / 约束,F04,吸附与轴向约束放置,变换与布局,Direct manipulation,将变换限制到网格、点、曲线或轴；主要效果：提高放置精度,A01,https://help.autodesk.com/view/MAXDEV/2024/ENU/?guid=GUID-B40F84EA-5F19-45B6-AA7C-0ADC77708BBE,High,,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,语义空间感知能力
S024,2,3ds Max,吸附开关、对齐,对齐,吸附 / 对齐 / 约束,F05,对齐与包围盒匹配,变换与布局,Direct manipulation,依据轴、中心或包围盒求对齐变换；主要效果：匹配位置、中心或尺寸,A01,https://help.autodesk.com/view/MAXDEV/2024/ENU/?guid=GUID-B40F84EA-5F19-45B6-AA7C-0ADC77708BBE,High,,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,语义空间感知能力
S025,1,Cinema 4D,吸附、轴心中心,吸附,吸附 / 对齐 / 约束,F04,吸附与轴向约束放置,变换与布局,Direct manipulation,将变换限制到网格、点、曲线或轴；主要效果：提高放置精度,C03,https://help.maxon.net/c4d/en-us/Content/html/5166.html?TocPath=Coordinates%7CGenerators%7C_____0,High,,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,语义空间感知能力
S025,2,Cinema 4D,吸附、轴心中心,轴心中心,吸附 / 对齐 / 约束,F05,对齐与包围盒匹配,变换与布局,Direct manipulation,依据轴、中心或包围盒求对齐变换；主要效果：匹配位置、中心或尺寸,C03,https://help.maxon.net/c4d/en-us/Content/html/5166.html?TocPath=Coordinates%7CGenerators%7C_____0,High,,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,语义空间感知能力
S026,1,ZBrush,Gizmo 对齐,Gizmo 对齐,吸附 / 对齐 / 约束,F05,对齐与包围盒匹配,变换与布局,Direct manipulation,依据轴、中心或包围盒求对齐变换；主要效果：匹配位置、中心或尺寸,Z01,https://help.maxon.net/zbr/en-us/Content/html/reference-guide/brush/brush-types/brush-types.html,High,,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,语义空间感知能力
S027,1,Nomad Sculpt,吸附/Gizmo 对齐,吸附,吸附 / 对齐 / 约束,F04,吸附与轴向约束放置,变换与布局,Direct manipulation,将变换限制到网格、点、曲线或轴；主要效果：提高放置精度,N01,https://nomadsculpt.com/manual/tools,High,,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,语义空间感知能力
S027,2,Nomad Sculpt,吸附/Gizmo 对齐,Gizmo 对齐,吸附 / 对齐 / 约束,F05,对齐与包围盒匹配,变换与布局,Direct manipulation,依据轴、中心或包围盒求对齐变换；主要效果：匹配位置、中心或尺寸,N01,https://nomadsculpt.com/manual/tools,High,,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,语义空间感知能力
S028,1,Houdini,Match Size/Transform 约束,Match Size,吸附 / 对齐 / 约束,F05,对齐与包围盒匹配,变换与布局,Direct manipulation,依据轴、中心或包围盒求对齐变换；主要效果：匹配位置、中心或尺寸,H02,https://www.sidefx.com/docs/houdini/nodes/sop/index.html,High,,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,语义空间感知能力
S028,2,Houdini,Match Size/Transform 约束,Transform 约束,吸附 / 对齐 / 约束,F04,吸附与轴向约束放置,变换与布局,Direct manipulation,将变换限制到网格、点、曲线或轴；主要效果：提高放置精度,H02,https://www.sidefx.com/docs/houdini/nodes/sop/index.html,High,,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,语义空间感知能力
S029,1,Blender,区域挤出,区域挤出,挤出,F06,连通挤出,拓扑构造,Selection + operator,复制边界并连接侧壁；主要效果：沿方向或法线延伸体量,B02,https://docs.blender.org/manual/en/4.0/modeling/meshes/editing/index.html,High,,边 / 面 / 区域,把面、边或点拉出新的相连几何。,形态增减，更多也是感受上的，形态上的变化
S030,1,Maya,挤出,挤出,挤出,F06,连通挤出,拓扑构造,Selection + operator,复制边界并连接侧壁；主要效果：沿方向或法线延伸体量,M01,https://help.autodesk.com/cloudhelp/ENU/MayaCRE-Modeling/files/GUID-C8EC81A1-46B2-498C-A759-7DC304D8B687.htm,High,,边 / 面 / 区域,把面、边或点拉出新的相连几何。,形态增减，更多也是感受上的，形态上的变化
S031,1,3ds Max,可编辑多边形挤出,可编辑多边形挤出,挤出,F06,连通挤出,拓扑构造,Selection + operator,复制边界并连接侧壁；主要效果：沿方向或法线延伸体量,A01,https://help.autodesk.com/view/MAXDEV/2024/ENU/?guid=GUID-B40F84EA-5F19-45B6-AA7C-0ADC77708BBE,High,,边 / 面 / 区域,把面、边或点拉出新的相连几何。,形态增减，更多也是感受上的，形态上的变化
S032,1,Cinema 4D,挤出,挤出,挤出,F06,连通挤出,拓扑构造,Selection + operator,复制边界并连接侧壁；主要效果：沿方向或法线延伸体量,C01,https://help.maxon.net/c4d/en-us/Content/html/OEXTRUDE.html,High,,边 / 面 / 区域,把面、边或点拉出新的相连几何。,形态增减，更多也是感受上的，形态上的变化
S033,1,Houdini,PolyExtrude SOP,PolyExtrude SOP,挤出,F06,连通挤出,拓扑构造,Selection + operator,复制边界并连接侧壁；主要效果：沿方向或法线延伸体量,H02,https://www.sidefx.com/docs/houdini/nodes/sop/index.html,High,,边 / 面 / 区域,把面、边或点拉出新的相连几何。,形态增减，更多也是感受上的，形态上的变化
S034,1,Blender,内插面,内插面,内插 / 内缩,F07,面内缩与轮廓偏移,拓扑构造,Selection + operator,在面内生成偏移边界；主要效果：形成内嵌轮廓或边框,B02,https://docs.blender.org/manual/en/4.0/modeling/meshes/editing/index.html,High,,面 / 区域,在选中面内部生成一圈内边界。,需要定位点选，之后转换成语义即可
S035,1,Maya,挤出偏移流程,挤出偏移流程,内插 / 内缩,F07,面内缩与轮廓偏移,拓扑构造,Selection + operator,在面内生成偏移边界；主要效果：形成内嵌轮廓或边框,M01,https://help.autodesk.com/cloudhelp/ENU/MayaCRE-Modeling/files/GUID-C8EC81A1-46B2-498C-A759-7DC304D8B687.htm,High,,面 / 区域,在选中面内部生成一圈内边界。,需要定位点选，之后转换成语义即可
S036,1,3ds Max,内插,内插,内插 / 内缩,F07,面内缩与轮廓偏移,拓扑构造,Selection + operator,在面内生成偏移边界；主要效果：形成内嵌轮廓或边框,A01,https://help.autodesk.com/view/MAXDEV/2024/ENU/?guid=GUID-B40F84EA-5F19-45B6-AA7C-0ADC77708BBE,High,,面 / 区域,在选中面内部生成一圈内边界。,需要定位点选，之后转换成语义即可
S037,1,Cinema 4D,内部挤出,内部挤出,内插 / 内缩,F07,面内缩与轮廓偏移,拓扑构造,Selection + operator,在面内生成偏移边界；主要效果：形成内嵌轮廓或边框,C03,https://help.maxon.net/c4d/en-us/Content/html/5166.html?TocPath=Coordinates%7CGenerators%7C_____0,High,,面 / 区域,在选中面内部生成一圈内边界。,需要定位点选，之后转换成语义即可
S038,1,Houdini,PolyInset 工作流,PolyInset 工作流,内插 / 内缩,F07,面内缩与轮廓偏移,拓扑构造,Selection + operator,在面内生成偏移边界；主要效果：形成内嵌轮廓或边框,H02,https://www.sidefx.com/docs/houdini/nodes/sop/index.html,High,,面 / 区域,在选中面内部生成一圈内边界。,需要定位点选，之后转换成语义即可
S039,1,Blender,倒角,倒角,倒角 / 切角,F08,边角倒角与圆角,拓扑构造,Selection + operator,截去尖角并插入过渡面；主要效果：软化或切平边角,B02,https://docs.blender.org/manual/en/4.0/modeling/meshes/editing/index.html,High,,边 / 点,把锐利边或点替换成圆滑或平直过渡。,转换成语义即可
S040,1,Maya,倒角,倒角,倒角 / 切角,F08,边角倒角与圆角,拓扑构造,Selection + operator,截去尖角并插入过渡面；主要效果：软化或切平边角,M01,https://help.autodesk.com/cloudhelp/ENU/MayaCRE-Modeling/files/GUID-C8EC81A1-46B2-498C-A759-7DC304D8B687.htm,High,,边 / 点,把锐利边或点替换成圆滑或平直过渡。,转换成语义即可
S041,1,3ds Max,切角,切角,倒角 / 切角,F08,边角倒角与圆角,拓扑构造,Selection + operator,截去尖角并插入过渡面；主要效果：软化或切平边角,A02,https://help.autodesk.com/cloudhelp/2022/ENU/3DSMax-Modeling/files/GUID-2C16FF31-BF20-450F-8163-3362A7037603.htm,High,,边 / 点,把锐利边或点替换成圆滑或平直过渡。,转换成语义即可
S042,1,Cinema 4D,倒角,倒角,倒角 / 切角,F08,边角倒角与圆角,拓扑构造,Selection + operator,截去尖角并插入过渡面；主要效果：软化或切平边角,C03,https://help.maxon.net/c4d/en-us/Content/html/5166.html?TocPath=Coordinates%7CGenerators%7C_____0,High,,边 / 点,把锐利边或点替换成圆滑或平直过渡。,转换成语义即可
S043,1,Houdini,PolyBevel SOP,PolyBevel SOP,倒角 / 切角,F08,边角倒角与圆角,拓扑构造,Selection + operator,截去尖角并插入过渡面；主要效果：软化或切平边角,H03,https://www.sidefx.com/docs/houdini/nodes/sop/polybevel.html,High,,边 / 点,把锐利边或点替换成圆滑或平直过渡。,转换成语义即可
S044,1,Blender,环切,环切,环切 / 连接边,F09,边插入与环切,拓扑构造,Selection + operator,在现有面上插入连续边；主要效果：增加局部控制线,B02,https://docs.blender.org/manual/en/4.0/modeling/meshes/editing/index.html,High,,边 / 面拓扑,在现有面上添加边环或连接边。,转换成语义即可
S045,1,Maya,插入边环 / 多重切割,插入边环 / 多重切割,环切 / 连接边,F09,边插入与环切,拓扑构造,Selection + operator,在现有面上插入连续边；主要效果：增加局部控制线,M01,https://help.autodesk.com/cloudhelp/ENU/MayaCRE-Modeling/files/GUID-C8EC81A1-46B2-498C-A759-7DC304D8B687.htm,High,,边 / 面拓扑,在现有面上添加边环或连接边。,转换成语义即可
S046,1,3ds Max,快速环切 / 连接,快速环切 / 连接,环切 / 连接边,F09,边插入与环切,拓扑构造,Selection + operator,在现有面上插入连续边；主要效果：增加局部控制线,A02,https://help.autodesk.com/cloudhelp/2022/ENU/3DSMax-Modeling/files/GUID-2C16FF31-BF20-450F-8163-3362A7037603.htm,High,,边 / 面拓扑,在现有面上添加边环或连接边。,转换成语义即可
S047,1,Cinema 4D,环切/路径切割,环切/路径切割,环切 / 连接边,F09,边插入与环切,拓扑构造,Selection + operator,在现有面上插入连续边；主要效果：增加局部控制线,C02,https://help.maxon.net/c4d/en-us/Content/html/TOOLKNIFEPATH.html?TocPath=Mesh+Menu%7CPath%2FLoop+Cut%7C_____0,High,,边 / 面拓扑,在现有面上添加边环或连接边。,转换成语义即可
S048,1,Houdini,PolySplit,PolySplit,环切 / 连接边,F09,边插入与环切,拓扑构造,Selection + operator,在现有面上插入连续边；主要效果：增加局部控制线,H02,https://www.sidefx.com/docs/houdini/nodes/sop/index.html,High,,边 / 面拓扑,在现有面上添加边环或连接边。,转换成语义即可
S049,1,Blender,刀切 / 二分,刀切,刀切 / 切片 / 平面切割,F10,自由路径切割,拓扑构造,Direct manipulation,按用户路径在表面插入切线；主要效果：按路径分割表面,B02,https://docs.blender.org/manual/en/4.0/modeling/meshes/editing/index.html,High,,面 / 对象,用绘制或投射方式切开面、边或对象。,转换成语义即可，可以手势操作引导环切和封口
S049,2,Blender,刀切 / 二分,二分,刀切 / 切片 / 平面切割,F11,平面截切,拓扑构造,Selection + operator,用平面与几何求交并切分；主要效果：得到平整截面或两侧部分,B02,https://docs.blender.org/manual/en/4.0/modeling/meshes/editing/index.html,High,,面 / 对象,用绘制或投射方式切开面、边或对象。,转换成语义即可，可以手势操作引导环切和封口
S050,1,Maya,多重切割,多重切割,刀切 / 切片 / 平面切割,F10,自由路径切割,拓扑构造,Direct manipulation,按用户路径在表面插入切线；主要效果：按路径分割表面,M01,https://help.autodesk.com/cloudhelp/ENU/MayaCRE-Modeling/files/GUID-C8EC81A1-46B2-498C-A759-7DC304D8B687.htm,High,,面 / 对象,用绘制或投射方式切开面、边或对象。,转换成语义即可，可以手势操作引导环切和封口
S051,1,3ds Max,切割 / 切片平面,切割,刀切 / 切片 / 平面切割,F10,自由路径切割,拓扑构造,Direct manipulation,按用户路径在表面插入切线；主要效果：按路径分割表面,A01,https://help.autodesk.com/view/MAXDEV/2024/ENU/?guid=GUID-B40F84EA-5F19-45B6-AA7C-0ADC77708BBE,High,,面 / 对象,用绘制或投射方式切开面、边或对象。,转换成语义即可，可以手势操作引导环切和封口
S051,2,3ds Max,切割 / 切片平面,切片平面,刀切 / 切片 / 平面切割,F11,平面截切,拓扑构造,Selection + operator,用平面与几何求交并切分；主要效果：得到平整截面或两侧部分,A01,https://help.autodesk.com/view/MAXDEV/2024/ENU/?guid=GUID-B40F84EA-5F19-45B6-AA7C-0ADC77708BBE,High,,面 / 对象,用绘制或投射方式切开面、边或对象。,转换成语义即可，可以手势操作引导环切和封口
S052,1,Cinema 4D,刀切 / 线切割,刀切/线切割,刀切 / 切片 / 平面切割,F10,自由路径切割,拓扑构造,Direct manipulation,按用户路径在表面插入切线；主要效果：按路径分割表面,C02,https://help.maxon.net/c4d/en-us/Content/html/TOOLKNIFEPATH.html?TocPath=Mesh+Menu%7CPath%2FLoop+Cut%7C_____0,High,,面 / 对象,用绘制或投射方式切开面、边或对象。,转换成语义即可，可以手势操作引导环切和封口
S053,1,Houdini,Knife/Clip/PolyCut,Knife/PolyCut,刀切 / 切片 / 平面切割,F10,自由路径切割,拓扑构造,Direct manipulation,按用户路径在表面插入切线；主要效果：按路径分割表面,H02,https://www.sidefx.com/docs/houdini/nodes/sop/index.html,High,,面 / 对象,用绘制或投射方式切开面、边或对象。,转换成语义即可，可以手势操作引导环切和封口
S053,2,Houdini,Knife/Clip/PolyCut,Clip,刀切 / 切片 / 平面切割,F11,平面截切,拓扑构造,Selection + operator,用平面与几何求交并切分；主要效果：得到平整截面或两侧部分,H02,https://www.sidefx.com/docs/houdini/nodes/sop/index.html,High,,面 / 对象,用绘制或投射方式切开面、边或对象。,转换成语义即可，可以手势操作引导环切和封口
S054,1,Blender,桥接边环 / 网格填充,桥接边环,桥接 / 补面 / 封口,F12,边界桥接,拓扑构造,Selection + operator,在两个边界之间生成连接面带；主要效果：连接间隙,B02,https://docs.blender.org/manual/en/4.0/modeling/meshes/editing/index.html,High,,边环 / 洞 / 面,在边界之间生成面，或填补洞。,可以手势操作引导环切和封口
S054,2,Blender,桥接边环 / 网格填充,网格填充,桥接 / 补面 / 封口,F13,洞口填充与封口,拓扑构造,Selection + operator,依据边界生成填充面；主要效果：封闭洞口,B02,https://docs.blender.org/manual/en/4.0/modeling/meshes/editing/index.html,High,,边环 / 洞 / 面,在边界之间生成面，或填补洞。,可以手势操作引导环切和封口
S055,1,Maya,桥接 / 补洞,桥接,桥接 / 补面 / 封口,F12,边界桥接,拓扑构造,Selection + operator,在两个边界之间生成连接面带；主要效果：连接间隙,M01,https://help.autodesk.com/cloudhelp/ENU/MayaCRE-Modeling/files/GUID-C8EC81A1-46B2-498C-A759-7DC304D8B687.htm,High,,边环 / 洞 / 面,在边界之间生成面，或填补洞。,可以手势操作引导环切和封口
S055,2,Maya,桥接 / 补洞,补洞,桥接 / 补面 / 封口,F13,洞口填充与封口,拓扑构造,Selection + operator,依据边界生成填充面；主要效果：封闭洞口,M01,https://help.autodesk.com/cloudhelp/ENU/MayaCRE-Modeling/files/GUID-C8EC81A1-46B2-498C-A759-7DC304D8B687.htm,High,,边环 / 洞 / 面,在边界之间生成面，或填补洞。,可以手势操作引导环切和封口
S056,1,3ds Max,桥接 / 封口,桥接,桥接 / 补面 / 封口,F12,边界桥接,拓扑构造,Selection + operator,在两个边界之间生成连接面带；主要效果：连接间隙,A01,https://help.autodesk.com/view/MAXDEV/2024/ENU/?guid=GUID-B40F84EA-5F19-45B6-AA7C-0ADC77708BBE,High,,边环 / 洞 / 面,在边界之间生成面，或填补洞。,可以手势操作引导环切和封口
S056,2,3ds Max,桥接 / 封口,封口,桥接 / 补面 / 封口,F13,洞口填充与封口,拓扑构造,Selection + operator,依据边界生成填充面；主要效果：封闭洞口,A01,https://help.autodesk.com/view/MAXDEV/2024/ENU/?guid=GUID-B40F84EA-5F19-45B6-AA7C-0ADC77708BBE,High,,边环 / 洞 / 面,在边界之间生成面，或填补洞。,可以手势操作引导环切和封口
S057,1,Cinema 4D,桥接 / 关闭多边形洞,桥接,桥接 / 补面 / 封口,F12,边界桥接,拓扑构造,Selection + operator,在两个边界之间生成连接面带；主要效果：连接间隙,C03,https://help.maxon.net/c4d/en-us/Content/html/5166.html?TocPath=Coordinates%7CGenerators%7C_____0,High,,边环 / 洞 / 面,在边界之间生成面，或填补洞。,可以手势操作引导环切和封口
S057,2,Cinema 4D,桥接 / 关闭多边形洞,关闭多边形洞,桥接 / 补面 / 封口,F13,洞口填充与封口,拓扑构造,Selection + operator,依据边界生成填充面；主要效果：封闭洞口,C03,https://help.maxon.net/c4d/en-us/Content/html/5166.html?TocPath=Coordinates%7CGenerators%7C_____0,High,,边环 / 洞 / 面,在边界之间生成面，或填补洞。,可以手势操作引导环切和封口
S058,1,Houdini,PolyBridge/PolyFill,PolyBridge/PolyFill,桥接 / 补面 / 封口,F12,边界桥接,拓扑构造,Selection + operator,在两个边界之间生成连接面带；主要效果：连接间隙,H02,https://www.sidefx.com/docs/houdini/nodes/sop/index.html,High,,边环 / 洞 / 面,在边界之间生成面，或填补洞。,可以手势操作引导环切和封口
S058,2,Houdini,PolyBridge/PolyFill,Fill/Cap,桥接 / 补面 / 封口,F13,洞口填充与封口,拓扑构造,Selection + operator,依据边界生成填充面；主要效果：封闭洞口,H02,https://www.sidefx.com/docs/houdini/nodes/sop/index.html,High,,边环 / 洞 / 面,在边界之间生成面，或填补洞。,可以手势操作引导环切和封口
S059,1,Blender,合并 / 焊接 / 溶解,合并/焊接,合并 / 焊接 / 溶解,F14,合并与焊接,拓扑简化,Selection + operator,将多个元素合并为共享元素；主要效果：消除缝隙或重复点,B02,https://docs.blender.org/manual/en/4.0/modeling/meshes/editing/index.html,High,,点 / 边 / 拓扑,合并顶点/边，或移除冗余拓扑。,相当于减少渲染负载，在可以保证效果的基础上
