software,native_tool,operation_family,geometry_level,geometry_effect,creative_scenario,operation_semantics,ai_available,semantic_replaceability,spatial_agency,system_decision,frontend_primitive,backend_action,coding_note
Cinema 4D,样条画笔,曲线 / 样条绘制,曲线 / 线,创建导向曲线、路径、管状结构或轮廓线。,绘制角、头发路径、线缆、装饰轮廓、眼睑/嘴形曲线。,线段绘制（其实ai也能代替了）只是调用不同的模型,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
ZBrush,曲线笔刷,曲线 / 样条绘制,曲线 / 线,创建导向曲线、路径、管状结构或轮廓线。,绘制角、头发路径、线缆、装饰轮廓、眼睑/嘴形曲线。,线段绘制（其实ai也能代替了）只是调用不同的模型,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Nomad Sculpt,管状曲线,曲线 / 样条绘制,曲线 / 线,创建导向曲线、路径、管状结构或轮廓线。,绘制角、头发路径、线缆、装饰轮廓、眼睑/嘴形曲线。,线段绘制（其实ai也能代替了）只是调用不同的模型,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Houdini,Curve SOP,曲线 / 样条绘制,曲线 / 线,创建导向曲线、路径、管状结构或轮廓线。,绘制角、头发路径、线缆、装饰轮廓、眼睑/嘴形曲线。,线段绘制（其实ai也能代替了）只是调用不同的模型,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Blender,移动/旋转/缩放、变换操纵器,组件变换,点 / 边 / 面 / 对象,移动、旋转或缩放选中的组件或对象。,调整轮廓、定位五官、拉伸肢体、缩放道具部件。,空间定位,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Maya,移动/旋转/缩放工具,组件变换,点 / 边 / 面 / 对象,移动、旋转或缩放选中的组件或对象。,调整轮廓、定位五官、拉伸肢体、缩放道具部件。,空间定位,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
3ds Max,选择并移动/旋转/缩放,组件变换,点 / 边 / 面 / 对象,移动、旋转或缩放选中的组件或对象。,调整轮廓、定位五官、拉伸肢体、缩放道具部件。,空间定位,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,移动/缩放/旋转,组件变换,点 / 边 / 面 / 对象,移动、旋转或缩放选中的组件或对象。,调整轮廓、定位五官、拉伸肢体、缩放道具部件。,空间定位,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
ZBrush,Gizmo 3D,组件变换,点 / 边 / 面 / 对象,移动、旋转或缩放选中的组件或对象。,调整轮廓、定位五官、拉伸肢体、缩放道具部件。,空间定位,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Nomad Sculpt,Gizmo,组件变换,点 / 边 / 面 / 对象,移动、旋转或缩放选中的组件或对象。,调整轮廓、定位五官、拉伸肢体、缩放道具部件。,空间定位,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Houdini,Edit/Transform SOP,组件变换,点 / 边 / 面 / 对象,移动、旋转或缩放选中的组件或对象。,调整轮廓、定位五官、拉伸肢体、缩放道具部件。,空间定位,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,吸附、轴向约束,吸附 / 对齐 / 约束,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,对称放置、对齐硬表面面板、把眼睛贴到头部表面。,语义空间感知能力,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Maya,吸附到网格/点/曲线,吸附 / 对齐 / 约束,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,对称放置、对齐硬表面面板、把眼睛贴到头部表面。,语义空间感知能力,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
3ds Max,吸附开关、对齐,吸附 / 对齐 / 约束,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,对称放置、对齐硬表面面板、把眼睛贴到头部表面。,语义空间感知能力,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,吸附、轴心中心,吸附 / 对齐 / 约束,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,对称放置、对齐硬表面面板、把眼睛贴到头部表面。,语义空间感知能力,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
ZBrush,Gizmo 对齐,吸附 / 对齐 / 约束,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,对称放置、对齐硬表面面板、把眼睛贴到头部表面。,语义空间感知能力,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Nomad Sculpt,吸附/Gizmo 对齐,吸附 / 对齐 / 约束,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,对称放置、对齐硬表面面板、把眼睛贴到头部表面。,语义空间感知能力,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Houdini,Match Size/Transform 约束,吸附 / 对齐 / 约束,点 / 边 / 面 / 对象,按网格、轴向、表面、法线或参考对象放置几何。,对称放置、对齐硬表面面板、把眼睛贴到头部表面。,语义空间感知能力,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,区域挤出,挤出,边 / 面 / 区域,把面、边或点拉出新的相连几何。,生长肢体、做嘴唇、拉出装甲面板、延展道具结构。,形态增减，更多也是感受上的，形态上的变化,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Maya,挤出,挤出,边 / 面 / 区域,把面、边或点拉出新的相连几何。,生长肢体、做嘴唇、拉出装甲面板、延展道具结构。,形态增减，更多也是感受上的，形态上的变化,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
3ds Max,可编辑多边形挤出,挤出,边 / 面 / 区域,把面、边或点拉出新的相连几何。,生长肢体、做嘴唇、拉出装甲面板、延展道具结构。,形态增减，更多也是感受上的，形态上的变化,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,挤出,挤出,边 / 面 / 区域,把面、边或点拉出新的相连几何。,生长肢体、做嘴唇、拉出装甲面板、延展道具结构。,形态增减，更多也是感受上的，形态上的变化,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Houdini,PolyExtrude SOP,挤出,边 / 面 / 区域,把面、边或点拉出新的相连几何。,生长肢体、做嘴唇、拉出装甲面板、延展道具结构。,形态增减，更多也是感受上的，形态上的变化,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,内插面,内插 / 内缩,面 / 区域,在选中面内部生成一圈内边界。,准备面板凹槽、眼窝、嘴部开口、凸起/凹陷细节。,需要定位点选，之后转换成语义即可,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Maya,挤出偏移流程,内插 / 内缩,面 / 区域,在选中面内部生成一圈内边界。,准备面板凹槽、眼窝、嘴部开口、凸起/凹陷细节。,需要定位点选，之后转换成语义即可,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
3ds Max,内插,内插 / 内缩,面 / 区域,在选中面内部生成一圈内边界。,准备面板凹槽、眼窝、嘴部开口、凸起/凹陷细节。,需要定位点选，之后转换成语义即可,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,内部挤出,内插 / 内缩,面 / 区域,在选中面内部生成一圈内边界。,准备面板凹槽、眼窝、嘴部开口、凸起/凹陷细节。,需要定位点选，之后转换成语义即可,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Houdini,PolyInset 工作流,内插 / 内缩,面 / 区域,在选中面内部生成一圈内边界。,准备面板凹槽、眼窝、嘴部开口、凸起/凹陷细节。,需要定位点选，之后转换成语义即可,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,倒角,倒角 / 切角,边 / 点,把锐利边或点替换成圆滑或平直过渡。,软化硬边、增加高光线、做风格化厚重形体。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Maya,倒角,倒角 / 切角,边 / 点,把锐利边或点替换成圆滑或平直过渡。,软化硬边、增加高光线、做风格化厚重形体。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
3ds Max,切角,倒角 / 切角,边 / 点,把锐利边或点替换成圆滑或平直过渡。,软化硬边、增加高光线、做风格化厚重形体。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Cinema 4D,倒角,倒角 / 切角,边 / 点,把锐利边或点替换成圆滑或平直过渡。,软化硬边、增加高光线、做风格化厚重形体。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Houdini,PolyBevel SOP,倒角 / 切角,边 / 点,把锐利边或点替换成圆滑或平直过渡。,软化硬边、增加高光线、做风格化厚重形体。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Blender,环切,环切 / 连接边,边 / 面拓扑,在现有面上添加边环或连接边。,加支撑线、定义眼嘴拓扑、控制细分曲面。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Maya,插入边环 / 多重切割,环切 / 连接边,边 / 面拓扑,在现有面上添加边环或连接边。,加支撑线、定义眼嘴拓扑、控制细分曲面。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
3ds Max,快速环切 / 连接,环切 / 连接边,边 / 面拓扑,在现有面上添加边环或连接边。,加支撑线、定义眼嘴拓扑、控制细分曲面。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Cinema 4D,环切/路径切割,环切 / 连接边,边 / 面拓扑,在现有面上添加边环或连接边。,加支撑线、定义眼嘴拓扑、控制细分曲面。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Houdini,PolySplit,环切 / 连接边,边 / 面拓扑,在现有面上添加边环或连接边。,加支撑线、定义眼嘴拓扑、控制细分曲面。,转换成语义即可,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Blender,刀切 / 二分,刀切 / 切片 / 平面切割,面 / 对象,用绘制或投射方式切开面、边或对象。,切面板缝、拆硬表面部件、刻裂缝或开孔。,转换成语义即可，可以手势操作引导环切和封口,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Maya,多重切割,刀切 / 切片 / 平面切割,面 / 对象,用绘制或投射方式切开面、边或对象。,切面板缝、拆硬表面部件、刻裂缝或开孔。,转换成语义即可，可以手势操作引导环切和封口,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
3ds Max,切割 / 切片平面,刀切 / 切片 / 平面切割,面 / 对象,用绘制或投射方式切开面、边或对象。,切面板缝、拆硬表面部件、刻裂缝或开孔。,转换成语义即可，可以手势操作引导环切和封口,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,刀切 / 线切割,刀切 / 切片 / 平面切割,面 / 对象,用绘制或投射方式切开面、边或对象。,切面板缝、拆硬表面部件、刻裂缝或开孔。,转换成语义即可，可以手势操作引导环切和封口,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Houdini,Knife/Clip/PolyCut,刀切 / 切片 / 平面切割,面 / 对象,用绘制或投射方式切开面、边或对象。,切面板缝、拆硬表面部件、刻裂缝或开孔。,转换成语义即可，可以手势操作引导环切和封口,无,Low,High,Preserve,Drag,None,依赖局部空间位置、方向或连续操作，优先保留人的空间控制。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,桥接边环 / 网格填充,桥接 / 补面 / 封口,边环 / 洞 / 面,在边界之间生成面，或填补洞。,补洞、连接部件、删除后重建连续表面。,可以手势操作引导环切和封口,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Maya,桥接 / 补洞,桥接 / 补面 / 封口,边环 / 洞 / 面,在边界之间生成面，或填补洞。,补洞、连接部件、删除后重建连续表面。,可以手势操作引导环切和封口,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
3ds Max,桥接 / 封口,桥接 / 补面 / 封口,边环 / 洞 / 面,在边界之间生成面，或填补洞。,补洞、连接部件、删除后重建连续表面。,可以手势操作引导环切和封口,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,桥接 / 关闭多边形洞,桥接 / 补面 / 封口,边环 / 洞 / 面,在边界之间生成面，或填补洞。,补洞、连接部件、删除后重建连续表面。,可以手势操作引导环切和封口,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Houdini,PolyBridge/PolyFill,桥接 / 补面 / 封口,边环 / 洞 / 面,在边界之间生成面，或填补洞。,补洞、连接部件、删除后重建连续表面。,可以手势操作引导环切和封口,无,Medium,Medium,Hybrid,Add,Hybrid Backend,涉及局部新增或连接，用户指定区域，后端完成几何执行。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,合并 / 焊接 / 溶解,合并 / 焊接 / 溶解,点 / 边 / 拓扑,合并顶点/边，或移除冗余拓扑。,清理拓扑、连接接缝、简化低面形体、修补网格问题。,相当于减少渲染负载，在可以保证效果的基础上,无,Medium,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=无；本结果仅为draft coding。
Maya,合并 / 目标焊接,合并 / 焊接 / 溶解,点 / 边 / 拓扑,合并顶点/边，或移除冗余拓扑。,清理拓扑、连接接缝、简化低面形体、修补网格问题。,相当于减少渲染负载，在可以保证效果的基础上,无,Medium,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=无；本结果仅为draft coding。
3ds Max,焊接 / 移除,合并 / 焊接 / 溶解,点 / 边 / 拓扑,合并顶点/边，或移除冗余拓扑。,清理拓扑、连接接缝、简化低面形体、修补网格问题。,相当于减少渲染负载，在可以保证效果的基础上,无,Medium,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,焊接 / 优化,合并 / 焊接 / 溶解,点 / 边 / 拓扑,合并顶点/边，或移除冗余拓扑。,清理拓扑、连接接缝、简化低面形体、修补网格问题。,相当于减少渲染负载，在可以保证效果的基础上,无,Medium,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=无；本结果仅为draft coding。
Houdini,Fuse/Dissolve,合并 / 焊接 / 溶解,点 / 边 / 拓扑,合并顶点/边，或移除冗余拓扑。,清理拓扑、连接接缝、简化低面形体、修补网格问题。,相当于减少渲染负载，在可以保证效果的基础上,无,Medium,Low,Delegate,None,Delegated Backend,偏技术执行、表示转换、贴合或拓扑处理，适合后端代理。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,细分 / 细分曲面 / 体素重构,细分 / 平滑 / 重构网格,网格 / 拓扑密度,增加分辨率、做细分平滑，或重建网格拓扑。,增加雕刻细节、让低面形体变圆滑、重建脏拓扑。,相当于减少渲染负载，在可以保证效果的基础上,无,Medium,Medium,Hybrid,Smooth,Hybrid Backend,涉及局部平滑或重构，保留直觉调节并结合后端处理。 该混合类别同时含技术重构语义，建议逐项复核。 AI可用性原始标记=无；本结果仅为draft coding。
Maya,平滑 / 重构网格,细分 / 平滑 / 重构网格,网格 / 拓扑密度,增加分辨率、做细分平滑，或重建网格拓扑。,增加雕刻细节、让低面形体变圆滑、重建脏拓扑。,相当于减少渲染负载，在可以保证效果的基础上,无,Medium,Medium,Hybrid,Smooth,Hybrid Backend,涉及局部平滑或重构，保留直觉调节并结合后端处理。 该混合类别同时含技术重构语义，建议逐项复核。 AI可用性原始标记=无；本结果仅为draft coding。
3ds Max,TurboSmooth,细分 / 平滑 / 重构网格,网格 / 拓扑密度,增加分辨率、做细分平滑，或重建网格拓扑。,增加雕刻细节、让低面形体变圆滑、重建脏拓扑。,相当于减少渲染负载，在可以保证效果的基础上,无,Medium,Medium,Hybrid,Smooth,Hybrid Backend,涉及局部平滑或重构，保留直觉调节并结合后端处理。 该混合类别同时含技术重构语义，建议逐项复核。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,细分曲面,细分 / 平滑 / 重构网格,网格 / 拓扑密度,增加分辨率、做细分平滑，或重建网格拓扑。,增加雕刻细节、让低面形体变圆滑、重建脏拓扑。,相当于减少渲染负载，在可以保证效果的基础上,无,Medium,Medium,Hybrid,Smooth,Hybrid Backend,涉及局部平滑或重构，保留直觉调节并结合后端处理。 该混合类别同时含技术重构语义，建议逐项复核。 AI可用性原始标记=无；本结果仅为draft coding。
ZBrush,Divide/Dynamesh/ZRemesher,细分 / 平滑 / 重构网格,网格 / 拓扑密度,增加分辨率、做细分平滑，或重建网格拓扑。,增加雕刻细节、让低面形体变圆滑、重建脏拓扑。,相当于减少渲染负载，在可以保证效果的基础上,无,Medium,Medium,Hybrid,Smooth,Hybrid Backend,涉及局部平滑或重构，保留直觉调节并结合后端处理。 该混合类别同时含技术重构语义，建议逐项复核。 AI可用性原始标记=无；本结果仅为draft coding。
Nomad Sculpt,体素重构,细分 / 平滑 / 重构网格,网格 / 拓扑密度,增加分辨率、做细分平滑，或重建网格拓扑。,增加雕刻细节、让低面形体变圆滑、重建脏拓扑。,相当于减少渲染负载，在可以保证效果的基础上,无,Medium,Medium,Hybrid,Smooth,Hybrid Backend,涉及局部平滑或重构，保留直觉调节并结合后端处理。 该混合类别同时含技术重构语义，建议逐项复核。 AI可用性原始标记=无；本结果仅为draft coding。
Houdini,Subdivide/Remesh,细分 / 平滑 / 重构网格,网格 / 拓扑密度,增加分辨率、做细分平滑，或重建网格拓扑。,增加雕刻细节、让低面形体变圆滑、重建脏拓扑。,相当于减少渲染负载，在可以保证效果的基础上,无,Medium,Medium,Hybrid,Smooth,Hybrid Backend,涉及局部平滑或重构，保留直觉调节并结合后端处理。 该混合类别同时含技术重构语义，建议逐项复核。 AI可用性原始标记=无；本结果仅为draft coding。
Blender,布尔修改器,布尔运算,对象 / 实体区域,计算几何之间的并集、差集或交集。,打孔、切装甲槽、组合基础体、制作机械结构。,智能融合，把两个东西融合起来,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Maya,布尔,布尔运算,对象 / 实体区域,计算几何之间的并集、差集或交集。,打孔、切装甲槽、组合基础体、制作机械结构。,智能融合，把两个东西融合起来,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
3ds Max,布尔 / ProBoolean,布尔运算,对象 / 实体区域,计算几何之间的并集、差集或交集。,打孔、切装甲槽、组合基础体、制作机械结构。,智能融合，把两个东西融合起来,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Cinema 4D,Boole,布尔运算,对象 / 实体区域,计算几何之间的并集、差集或交集。,打孔、切装甲槽、组合基础体、制作机械结构。,智能融合，把两个东西融合起来,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
ZBrush,Live Boolean,布尔运算,对象 / 实体区域,计算几何之间的并集、差集或交集。,打孔、切装甲槽、组合基础体、制作机械结构。,智能融合，把两个东西融合起来,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
Nomad Sculpt,布尔,布尔运算,对象 / 实体区域,计算几何之间的并集、差集或交集。,打孔、切装甲槽、组合基础体、制作机械结构。,智能融合，把两个东西融合起来,无,Medium,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=无；本结果仅为draft coding。
